kStretchTreeDepth	LongLivedTreeDepth	kArraySize	kMinTreeDepth	kMaxTreeDepth	GC Itertations	Heap Size	Time Elapsed
21	19	500000	4	16	317	203612160	6636
21	19	500000	4	16	318	203612160	6774
21	19	500000	4	16	316	203612160	6651
21	19	500000	4	16	316	203612160	6488
21	19	500000	4	16	317	203612160	6929
21	19	500000	4	16	317	203612160	6510
21	19	500000	4	16	318	203612160	6848
21	19	500000	4	16	318	203612160	6719
21	19	500000	4	16	316	203612160	6550
21	19	500000	4	16	318	203612160	6787
21	19	500000	4	16	317	203612160	6648
21	19	500000	4	16	317	203612160	6536
